filename,page_count,char_count,extraction_method
AUG062024_02B2203,9,29686,text
AUG062024_04B2203,3,8722,text
AUG062024_05B2203,3,9201,text
AUG072019_01B2203,5,14943,text
AUG072019_02B2203,7,23845,text
AUG072019_03B2203,5,14219,text
AUG072019_04B2203,8,27805,text
AUG082013_01B2203,8,22166,text
AUG082014_01B2203,11,32591,text
AUG082014_02B2203,10,28200,text
AUG082014_03B2203,11,33091,text
AUG082016_01B2203,11,32385,text
AUG082017_01B2203,6,17976,text
AUG082018_01B2203,4,10832,text
AUG082018_02B2203,4,9575,text
AUG082022_01B2203,5,15684,text
AUG082024_01B2203,3,6985,text
AUG082024_02B2203,9,27094,text
AUG082024_03B2203,5,12206,text
AUG082024_04B2203,4,13171,text
AUG082024_05B2203,7,23599,text
AUG092016_01B2203,7,18647,text
AUG092018_01B2203,6,15815,text
AUG092018_02B2203,6,16619,text
AUG092021_01B2203,1,2251,text
AUG092022_01B2203,9,27691,text
AUG092023_01B2203,5,15440,text
AUG092023_02B2203,3,8436,text
AUG092024_01B2203,9,28933,text
AUG102005_01B2203,9,31597,text
AUG102005_03B2203,9,32039,text
AUG102015_01B2203,14,40643,text
AUG102016_01B2203,13,39000,text
AUG102020_01B2203,7,22098,text
AUG102020_02B2203,6,18222,text
AUG112005_01B2203,7,19219,text
AUG112005_02B2203,10,27483,text
AUG112005_03B2203,2,3338,text
AUG112005_07B2203,7,19219,text
AUG112005_08B2203,10,27481,text
AUG112005_09B2203,2,3338,text
AUG112016_01B2203,8,21766,text
AUG112017_01B2203,9,23572,text
AUG112017_02B2203,5,13709,text
AUG112020_01B2203,6,16217,text
AUG112020_02B2203,5,15892,text
AUG122005_01B2203,9,27910,text
AUG122005_02B2203,7,19294,text
AUG122005_03B2203,7,21208,text
AUG122005_04B2203,9,30816,text
AUG122005_05B2203,1,957,text
AUG122005_06B2203,8,26812,text
AUG122005_07B2203,2,2520,text
AUG122005_08B2203,8,25975,text
AUG122005_17B2203,9,27855,text
AUG122005_18B2203,7,19294,text
AUG122005_19B2203,7,21937,text
AUG122005_20B2203,9,30816,text
AUG122005_21B2203,1,957,text
AUG122005_22B2203,8,26812,text
AUG122005_23B2203,2,2520,text
AUG122005_24B2203,8,25975,text
AUG122015_01B2203,9,27413,text
AUG122015_02B2203,15,47260,text
AUG122020_01B2203,5,14076,text
AUG122020_02B2203,6,18254,text
AUG122020_03B2203,8,27342,text
AUG122024_01B2203,7,21344,text
AUG122024_02B2203,8,25028,text
